usdaId,name,category,mealType,dietType,calories,protein,carbs,fat,fiber,sugar,sodium,servingSize,servingUnit,vegetarian,vegan,glutenFree,dairyFree,nutFree,soyFree
2565558,"""CRAB CHIP"" POTATO CHIPS",SEAFOOD,SNACK,NON_VEG,536.0,7.14,53.57,32.14,3.6,3.57,1071.0,100.0,g,False,False,True,True,True,True
2465723,"""THE CRAB CHIP"" POTATO CHIPS WITH CHESAPEAKE BAY CRAB SEASONING, CHESAPEAKE BAY CRAB SEASONING",SEAFOOD,SNACK,NON_VEG,536.0,7.14,53.57,32.14,3.6,3.57,1071.0,100.0,g,False,False,True,True,True,True
2565587,"""THE CRAB CHIP"" WITH CHESAPEAKE BAY CRAB SEASONING POTATO CHIPS, CRAB",SEAFOOD,SNACK,NON_VEG,536.0,7.14,53.57,32.14,3.6,3.57,1071.0,100.0,g,False,False,True,True,True,True
2440198,(GROUND SHRIMP),SEAFOOD,SNACK,NON_VEG,314.0,66.46,3.57,3.89,1.0,2.39,1797.0,100.0,g,False,False,True,True,True,True
1458079,1 OZ WHOLE GRAIN FISH STX,SEAFOOD,SNACK,NON_VEG,196.0,15.18,16.07,7.14,0.9,0.0,348.0,100.0,g,False,False,True,True,True,True
1458898,10 OZ UNIFORM SALMON PORT,SEAFOOD,SNACK,NON_VEG,223.0,20.54,0.0,16.07,0.0,0.0,40.0,100.0,g,False,False,True,True,True,True
1459817,10/UP SNOW CRAB CLUSTERS,SEAFOOD,SNACK,NON_VEG,107.0,23.81,0.0,1.19,0.0,0.0,774.0,100.0,g,False,False,True,True,True,True
1589899,"100% NATURAL BROTH, FISH",SEAFOOD,SNACK,NON_VEG,8.0,0.8,0.4,0.4,0.4,0.4,286.0,100.0,g,False,False,True,True,True,True
2653824,100% NATURAL GEFILTE FISH,SEAFOOD,SNACK,NON_VEG,145.0,5.45,14.55,3.64,1.8,1.82,400.0,100.0,g,False,False,True,True,True,True
2393685,"100% ORANGE JUICE FROM CONCENTRATE WITH PULP, ORANGE",FRUIT,SNACK,VEGAN,46.0,0.42,11.25,0.0,0.0,10.0,4.0,100.0,g,True,True,True,True,True,True
2148354,100% PURE NATURAL FISH SAUCE,SEAFOOD,SNACK,NON_VEG,80.0,13.3,0.0,0.0,0.0,0.0,7660.0,100.0,g,False,False,True,True,True,True
1908588,100% PURE ORANGE JUICE FROM CONCENTRATE,FRUIT,SNACK,VEGAN,48.0,0.72,11.35,0.0,0.0,10.14,5.0,100.0,g,True,True,True,True,True,True
2137515,100% PURE ORANGE JUICE FROM CONCENTRATE,FRUIT,SNACK,VEGAN,49.0,0.0,12.27,0.0,0.0,11.66,6.0,100.0,g,True,True,True,True,True,True
2448684,"100% PURE ORANGE PINEAPPLE JUICE FROM CONCENTRATE, ORANGE PINEAPPLE",FRUIT,SNACK,VEGAN,50.0,0.42,12.08,0.0,0.0,10.83,8.0,100.0,g,True,True,True,True,True,True
1919056,"100% REAL FRUIT MIX! FREEZE DRIED SNACKS, MANGO STRAWBERRY & BANANA",FRUIT,SNACK,VEGAN,333.0,0.0,88.89,0.0,11.1,55.56,0.0,100.0,g,True,True,True,True,True,True
2286080,"100% REAL FRUIT! TINY GUMMIES, APPLE ORANGE CARROT & GOJI",FRUIT,SNACK,VEGAN,321.0,0.0,78.57,0.0,7.1,64.29,536.0,100.0,g,True,True,True,True,True,True
2485591,"100% SOCKEYE SALMON BURGERS, 100% SOCKEYE SALMON",SEAFOOD,LUNCH,NON_VEG,248.0,15.93,10.62,16.81,0.9,1.77,558.0,100.0,g,False,False,True,True,True,True
2158880,"12PC SALMON AVOCADO ROLL QBR, SALMON AVOCADO",SEAFOOD,SNACK,NON_VEG,155.0,5.62,20.08,5.22,2.0,5.22,335.0,100.0,g,False,False,True,True,True,True
1972248,"12PC SALMON AVOCADO ROLL WR, SALMON AVOCADO",SEAFOOD,SNACK,NON_VEG,180.0,6.54,26.54,5.77,1.9,5.0,317.0,100.0,g,False,False,True,True,True,True
2140793,"12PC SALMON AVOCADO ROLL WR, SALMON AVOCADO",SEAFOOD,SNACK,NON_VEG,180.0,5.68,30.28,4.73,0.9,5.68,353.0,100.0,g,False,False,True,True,True,True
2327399,"12PC SHRIMP CALI ROLL QBR, SHRIMP CALI",SEAFOOD,SNACK,NON_VEG,120.0,4.39,17.98,3.07,2.2,4.82,328.0,100.0,g,False,False,True,True,True,True
2525481,"12PC SHRIMP CALI ROLL WR, SHRIMP CALI",SEAFOOD,SNACK,NON_VEG,143.0,4.82,24.56,3.07,2.2,4.39,323.0,100.0,g,False,False,True,True,True,True
2153260,"12PC SHRIMP TEMP KABUKI ROLL, SHRIMP TEMP KABUKI",SEAFOOD,SNACK,NON_VEG,181.0,5.16,32.26,4.19,1.0,6.13,467.0,100.0,g,False,False,True,True,True,True
2327395,"12PC SP SALMON AVOCADO ROLL QBR, SALMON AVOCADO",SEAFOOD,SNACK,NON_VEG,163.0,6.12,18.78,6.53,2.0,4.9,353.0,100.0,g,False,False,True,True,True,True
2158881,"12PC SP SALMON AVOCADO ROLL WR, SALMON AVOCADO",SEAFOOD,SNACK,NON_VEG,188.0,6.53,26.12,6.53,2.0,4.9,348.0,100.0,g,False,False,True,True,True,True
2525482,"12PC SP SHRIMP CALI ROLL WR, SHRIMP CALI",SEAFOOD,SNACK,NON_VEG,150.0,4.7,24.36,3.85,2.1,4.7,342.0,100.0,g,False,False,True,True,True,True
2267415,"12PC SP TUNA AVOCADO ROLL QBR, TUNA AVOCADO",SEAFOOD,SNACK,NON_VEG,142.0,6.67,19.58,3.75,2.1,5.0,356.0,100.0,g,False,False,True,True,True,True
2158900,"12PC SP TUNA AVOCADO ROLL WR, TUNA AVOCADO",SEAFOOD,SNACK,NON_VEG,168.0,7.08,26.67,3.75,2.1,5.0,351.0,100.0,g,False,False,True,True,True,True
2525483,"12PC TUNA AVOCADO ROLL QBR, TUNA AVOCADO",SEAFOOD,SNACK,NON_VEG,134.0,7.11,19.25,2.51,2.1,5.02,332.0,100.0,g,False,False,True,True,True,True
